time_step,bicg_total_misses,bicg_dead_misses,atax_total_misses,atax_dead_misses
316,16,0,32,32
317,16,0,32,32
318,16,0,32,32
319,16,0,32,32
320,16,0,32,32
321,16,0,32,32
322,16,0,32,32
323,16,0,32,32
324,16,0,32,32
325,16,0,32,32
326,16,0,32,32
327,16,0,36,36
328,16,0,32,32
329,16,0,32,32
330,16,0,32,32
331,16,0,32,32
332,16,0,32,32
333,16,0,32,32
334,16,0,32,32
335,16,0,32,32
336,16,0,32,32
337,16,0,32,32
338,16,0,32,32
339,16,0,32,32
340,16,0,32,32
341,16,0,32,32
342,16,0,32,32
343,16,0,36,36
344,16,0,32,32
345,16,0,32,32
346,16,0,32,32
347,16,0,32,32
348,16,0,32,32
349,16,0,32,32
350,16,0,32,32
351,16,0,32,32
352,16,0,32,32
353,16,0,32,32
354,16,0,32,32
355,16,0,32,32
356,16,0,32,32
357,16,0,32,32
358,16,0,32,32
359,16,0,32,32
360,16,0,32,32
361,16,0,32,32
362,16,0,32,32
363,16,0,32,32
364,16,0,32,32
365,16,0,32,32
366,16,0,32,32
367,16,0,36,36
368,16,0,32,32
369,16,0,32,32
370,16,0,32,32
371,16,0,32,32
372,16,0,32,32
373,16,0,32,32
374,16,0,32,32
375,16,0,32,32
376,16,0,32,32
377,16,0,32,32
378,16,0,32,32
379,16,0,32,32
380,16,0,32,32
381,16,0,32,32
382,16,0,32,32
383,16,0,32,32
384,16,0,32,32
385,16,0,32,32
386,16,0,32,32
387,16,0,32,32
388,16,0,32,32
389,16,0,32,32
390,16,0,32,32
391,16,0,36,36
392,16,0,32,32
393,16,0,32,32
394,16,0,32,32
395,16,0,32,32
396,16,0,32,32
397,16,0,32,32
398,16,0,32,32
399,16,0,32,32
400,16,0,32,32
401,16,0,32,32
402,16,0,32,32
403,16,0,32,32
404,16,0,32,32
405,16,0,32,32
406,16,0,32,32
407,16,0,36,36
408,16,0,32,32
409,16,0,32,32
410,16,0,32,32
411,16,0,32,32
412,16,0,32,32
413,16,0,32,32
414,16,0,32,32
415,16,0,32,32
416,16,0,32,32
417,16,0,32,32
418,16,0,32,32
419,16,0,32,32
420,16,0,32,32
421,16,0,32,32
422,16,0,32,32
423,16,0,32,32
424,16,0,32,32
425,16,0,32,32
426,16,0,32,32
427,16,0,32,32
428,16,0,32,32
429,16,0,32,32
430,16,0,32,32
431,16,0,36,36
432,16,0,32,32
433,16,0,32,32
434,16,0,32,32
435,16,0,32,32
436,16,0,32,32
437,16,0,32,32
438,16,0,32,32
439,16,0,32,32
440,16,0,32,32
441,16,0,32,32
442,16,0,32,32
443,16,0,32,32
444,16,0,32,32
445,16,0,32,32
446,16,0,32,32
447,16,0,32,32
448,16,0,32,32
449,16,0,32,32
450,16,0,32,32
451,16,0,32,32
452,16,0,32,32
453,16,0,32,32
454,16,0,32,32
455,16,0,32,32
456,16,0,36,36
457,16,0,32,32
458,16,0,32,32
459,16,0,32,32
460,16,0,32,32
461,16,0,32,32
462,16,0,32,32
463,16,0,32,32
464,16,0,32,32
465,16,0,32,32
466,16,0,32,32
467,16,0,32,32
468,16,0,32,32
469,16,0,32,32
470,16,0,32,32
471,16,0,32,32
472,16,0,36,36
473,16,0,32,32
474,16,0,32,32
475,16,0,32,32
476,16,0,32,32
477,16,0,32,32
478,16,0,32,32
479,16,0,32,32
480,16,0,48,48
481,16,0,64,64
482,16,0,64,64
483,16,0,64,64
484,16,0,64,64
485,16,0,64,64
486,16,0,64,64
487,16,0,64,64
488,16,0,48,48
489,16,0,32,32
490,16,0,32,32
491,16,0,32,32
492,16,0,32,32
493,16,0,32,32
494,16,0,32,32
495,16,0,32,32
496,16,0,32,32
497,16,0,32,32
498,16,0,32,32
499,16,0,32,32
500,16,0,32,32
501,16,0,32,32
502,16,0,32,32
503,16,0,32,32
504,16,0,48,48
505,16,0,64,64
506,16,0,64,64
507,16,0,68,68
508,16,0,63,63
509,16,0,64,64
510,16,0,64,64
511,16,0,64,64
512,16,0,64,64
513,24,0,64,64
514,16,0,64,64
515,16,0,64,64
516,16,0,64,64
517,16,0,48,48
518,16,0,32,32
519,16,0,32,32
520,16,0,32,32
521,16,0,32,32
522,16,0,32,32
523,16,0,32,32
524,16,0,32,32
525,16,0,32,32
526,16,0,32,32
527,16,0,32,32
528,16,0,32,32
529,16,0,32,32
530,16,0,32,32
531,16,0,32,32
532,16,0,32,32
533,16,0,32,32
534,16,0,32,32
535,16,0,32,32
536,16,0,32,32
537,16,0,32,32
538,16,0,32,32
539,16,0,32,32
540,16,0,32,32
541,16,0,32,32
542,16,0,32,32
543,16,0,32,32
544,16,0,32,32
545,16,0,32,32
546,16,0,32,32
547,16,0,32,32
548,16,0,32,32
549,16,0,32,32
550,16,0,32,32
551,16,0,32,32
552,16,0,32,32
553,16,0,32,32
554,16,0,32,32
555,16,0,36,36
556,16,0,32,32
557,16,0,32,32
558,16,0,32,32
559,16,0,32,32
560,16,0,32,32
561,16,0,32,32
562,16,0,32,32
563,16,0,32,32
564,16,0,32,32
565,16,0,32,32
566,16,0,32,32
567,16,0,32,32
568,16,0,32,32
569,16,0,32,32
570,16,0,32,32
571,16,0,32,32
572,16,0,32,32
573,16,0,32,32
574,16,0,32,32
575,16,0,32,32
576,16,0,32,32
577,16,0,32,32
578,16,0,32,32
579,16,0,32,32
580,16,0,32,32
581,16,0,32,32
582,16,0,32,32
583,16,0,32,32
584,16,0,32,32
585,16,0,32,32
586,16,0,32,32
587,16,0,32,32
588,16,0,32,32
589,16,0,32,32
590,16,0,32,32
591,16,0,32,32
592,16,0,32,32
593,16,0,32,32
594,16,0,32,32
595,16,0,32,32
596,16,0,32,32
597,16,0,32,32
598,16,0,32,32
599,16,0,32,32
